stock_symbol,timestamp,open,high,low,close,volume
IBM,2025-02-11 16:00:00,254.8,255.0,254.3,254.3,1120258
IBM,2025-02-11 15:55:00,255.02,255.1,254.49,254.79,275114
IBM,2025-02-11 15:50:00,255.25,255.4292,254.89,254.92,135032
IBM,2025-02-11 15:45:00,254.85,255.2,254.7817,255.145,71861
IBM,2025-02-11 15:40:00,254.915,254.915,254.59,254.85,60619
IBM,2025-02-11 15:35:00,255.03,255.095,254.81,254.915,89575
IBM,2025-02-11 15:30:00,254.59,255.0591,254.56,255.005,46022
IBM,2025-02-11 15:25:00,254.05,254.6999,254.05,254.56,39142
IBM,2025-02-11 15:20:00,253.7525,254.13,253.7525,253.98,42564
IBM,2025-02-11 15:15:00,254.07,254.194,253.6601,253.6782,28986
IBM,2025-02-11 15:10:00,254.31,254.57,254.05,254.119,24558
IBM,2025-02-11 15:05:00,254.515,254.515,253.98,254.2746,24112
IBM,2025-02-11 15:00:00,254.62,254.715,254.24,254.5,59257
IBM,2025-02-11 14:55:00,254.54,254.85,254.5001,254.575,26102
IBM,2025-02-11 14:50:00,254.75,254.93,254.5301,254.6,22733
IBM,2025-02-11 14:45:00,255.225,255.3181,254.67,254.76,26107
IBM,2025-02-11 14:40:00,254.87,255.32,254.75,255.225,29653
IBM,2025-02-11 14:35:00,254.39,254.86,254.39,254.755,36361
IBM,2025-02-11 14:30:00,254.15,254.6307,254.15,254.39,20461
IBM,2025-02-11 14:25:00,254.18,254.28,254.03,254.15,16602
IBM,2025-02-11 14:20:00,253.95,254.41,253.81,254.18,28027
IBM,2025-02-11 14:15:00,253.96,254.18,253.82,253.96,28219
IBM,2025-02-11 14:10:00,254.08,254.305,253.84,253.9913,23747
IBM,2025-02-11 14:05:00,254.15,254.3,254.0,254.08,30663
IBM,2025-02-11 14:00:00,254.665,254.8,254.14,254.24,42418
IBM,2025-02-11 13:55:00,254.65,254.78,254.3568,254.53,13518
IBM,2025-02-11 13:50:00,255.17,255.17,254.62,254.64,25376
IBM,2025-02-11 13:45:00,255.11,255.3,254.92,255.17,40851
IBM,2025-02-11 13:40:00,255.21,255.24,255.0,255.142,13387
IBM,2025-02-11 13:35:00,255.265,255.59,255.1101,255.13,40993
IBM,2025-02-11 13:30:00,254.895,255.3899,254.895,255.3,17113
IBM,2025-02-11 13:25:00,254.964,255.13,254.8,254.895,26527
IBM,2025-02-11 13:20:00,254.995,255.14,254.8,254.96,23873
IBM,2025-02-11 13:15:00,254.97,255.09,254.8094,255.0625,15099
IBM,2025-02-11 13:10:00,254.81,255.2,254.52,255.06,30049
IBM,2025-02-11 13:05:00,254.295,254.8099,254.02,254.8099,46062
IBM,2025-02-11 13:00:00,254.43,254.475,254.06,254.39,27108
IBM,2025-02-11 12:55:00,254.61,254.77,254.29,254.5271,28805
IBM,2025-02-11 12:50:00,254.87,254.91,254.5,254.74,25067
IBM,2025-02-11 12:45:00,255.12,255.12,254.5,254.75,31928
IBM,2025-02-11 12:40:00,254.87,255.25,254.77,255.1128,39779
IBM,2025-02-11 12:35:00,254.87,254.97,254.513,254.87,31757
IBM,2025-02-11 12:30:00,254.68,254.91,254.16,254.89,27949
IBM,2025-02-11 12:25:00,254.77,254.88,253.89,254.68,73459
IBM,2025-02-11 12:20:00,254.4,254.84,254.3986,254.74,23032
IBM,2025-02-11 12:15:00,254.09,254.58,253.63,254.39,95768
IBM,2025-02-11 12:10:00,254.22,254.84,254.1456,254.2992,29721
IBM,2025-02-11 12:05:00,255.42,255.5,253.72,254.5235,87437
IBM,2025-02-11 12:00:00,256.3487,256.3487,255.42,255.535,100820
IBM,2025-02-11 11:55:00,256.531,256.75,256.22,256.285,43922
IBM,2025-02-11 11:50:00,256.34,256.56,256.185,256.53,111988
IBM,2025-02-11 11:45:00,256.1511,256.5,255.96,256.4999,37374
IBM,2025-02-11 11:40:00,256.27,256.4999,255.9,256.06,47226
IBM,2025-02-11 11:35:00,255.9,256.35,255.9,256.25,36336
IBM,2025-02-11 11:30:00,255.3881,256.0,254.8215,255.92,33890
IBM,2025-02-11 11:25:00,255.93,256.13,255.2001,255.22,67066
IBM,2025-02-11 11:20:00,255.63,256.13,255.55,256.015,106243
IBM,2025-02-11 11:15:00,255.7483,255.86,255.48,255.64,81673
