,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
1793,IBM,2006-12-18 00:00:00+05:00,95.44,7984900,,,,,,95.44,,0.0,0
1794,IBM,2006-12-19 00:00:00+05:00,96.0,4933200,,,,,,96.0,,0.0,0
1795,IBM,2006-12-20 00:00:00+05:00,96.0,3654600,,,,,,96.0,,0.0,0
1796,IBM,2006-12-21 00:00:00+05:00,95.91,4405600,,,,,,95.91,,0.0,0
1797,IBM,2006-12-22 00:00:00+05:00,95.25,3031500,,,,,,95.25,,0.0,0
1798,IBM,2006-12-26 00:00:00+05:00,95.66,2278700,,,,,,95.66,,0.0,0
1799,IBM,2006-12-27 00:00:00+05:00,97.2,4571600,,,,,,97.2,,0.0,0
1800,IBM,2006-12-28 00:00:00+05:00,96.97,4501700,,,,,,96.97,,0.0,0
1801,IBM,2006-12-29 00:00:00+05:00,97.15,4455900,,,,,,97.15,,0.0,0
1802,IBM,2007-01-03 00:00:00+05:00,97.27,9196800,,,,,,97.27,,0.0,0
1803,IBM,2007-01-04 00:00:00+05:00,98.31,10524500,,,,,,98.31,,0.0,0
1804,IBM,2007-01-05 00:00:00+05:00,97.42,7221300,,,,,,97.42,,0.0,0
1805,IBM,2007-01-08 00:00:00+05:00,98.9,10340000,,,,,,98.9,,0.0,0
1806,IBM,2007-01-09 00:00:00+05:00,100.07,11108200,,,,,,100.07,,0.0,0
1807,IBM,2007-01-10 00:00:00+05:00,98.89,8744800,,,,,,98.89,,0.0,0
1808,IBM,2007-01-11 00:00:00+05:00,98.65,8000700,,,,,,98.65,,0.0,0
1809,IBM,2007-01-12 00:00:00+05:00,99.34,6636500,,,,,,99.34,,0.0,0
1810,IBM,2007-01-16 00:00:00+05:00,100.82,9602200,,,,,,100.82,,0.0,0
1811,IBM,2007-01-17 00:00:00+05:00,100.02,8200700,,,,,,100.02,,0.0,0
1812,IBM,2007-01-18 00:00:00+05:00,99.45,14636100,,,,,,99.45,,0.0,0
1813,IBM,2007-01-19 00:00:00+05:00,96.17,26035800,,,,,,96.17,,0.0,0
