stock_symbol,timestamp,open,high,low,close,volume,ma_5,ma_10,ma_50,daily_return
IBM,2025-01-21,224.99,227.45,222.8302,224.26,3982203,221.898,221.64499999999998,222.2882,-0.002357756127941646
IBM,2025-01-22,221.98,224.4,220.35,223.26,4759490,223.0,221.704,222.4814,-0.004459109961651664
IBM,2025-01-23,223.94,226.04,223.15,226.04,3619651,224.202,221.91199999999998,222.72839999999997,0.012451849861148334
IBM,2025-01-24,225.27,226.8104,223.8,224.8,3233293,224.62999999999997,222.07399999999998,222.95,-0.0054857547336754076
IBM,2025-01-27,222.19,224.3,219.84,224.13,4898355,224.498,222.512,223.16119999999998,-0.0029804270462634452
IBM,2025-01-28,224.32,225.77,221.77,225.66,4485429,224.77799999999996,223.33800000000002,223.45719999999997,0.006826395395529428
IBM,2025-01-29,225.62,229.47,223.73,228.63,7079804,225.852,224.426,223.8114,0.013161393246476916
IBM,2025-01-30,250.0,261.8,247.01,258.27,15381890,232.298,228.25,224.797,0.12964177929405585
IBM,2025-01-31,256.05,257.235,251.89,255.7,7203519,238.47799999999998,231.554,225.81119999999999,-0.00995082665427649
IBM,2025-02-03,252.4,262.06,251.84,260.73,8408523,245.798,235.148,226.86399999999998,0.019671490027376004
IBM,2025-02-04,260.0,265.25,258.1233,264.46,6077652,253.558,239.16799999999998,227.94819999999999,0.014305987036397738
IBM,2025-02-05,265.71,265.72,261.18,263.3,6165096,260.49199999999996,243.17200000000003,228.92219999999998,-0.004386296604401263
IBM,2025-02-06,262.98,263.38,252.73,253.44,6128293,259.526,245.91199999999998,229.543,-0.037447778199772186
IBM,2025-02-07,255.28,256.93,252.02,252.34,3370284,258.854,248.666,230.1304,-0.00434027777777779
IBM,2025-02-10,250.86,251.95,246.87,249.27,3564400,256.562,251.17999999999998,230.5932,-0.012166125069350886
IBM,2025-02-11,251.1,256.75,250.58,254.7,4801550,254.60999999999999,254.084,231.11059999999998,0.021783608135756305
